date,rank_ic,n,split
2013-06-20,0.0945905861198793,400,discovery
2013-06-21,0.21379745244046996,398,discovery
2013-06-24,0.15910567482210766,400,discovery
2013-06-25,0.0631120264035554,401,discovery
2013-06-26,0.031198256949902494,400,discovery
2013-06-27,0.11657575147901778,399,discovery
2013-06-28,0.05858443180199933,401,discovery
2013-07-01,0.03933382836540173,401,discovery
2013-07-02,0.09445313361102002,401,discovery
2013-07-03,0.12528727550234772,400,discovery
2013-07-05,0.10511489343562785,402,discovery
2013-07-08,0.00486701262291314,402,discovery
2013-07-09,0.07547679699641707,402,discovery
2013-07-10,0.07895214918561178,402,discovery
2013-07-11,0.009544719885635192,401,discovery
2013-07-12,0.015456646441118634,402,discovery
2013-07-15,0.06928896606167527,402,discovery
2013-07-16,0.044028259815024486,401,discovery
2013-07-17,0.014250035824708908,401,discovery
2013-07-18,0.013785236419858665,402,discovery
2013-07-19,-0.008693700198323013,402,discovery
2013-07-22,0.04347653416840168,402,discovery
2013-07-23,0.03172669364831496,402,discovery
2013-07-24,0.07251761580829293,403,discovery
2013-07-25,0.08160081647308896,403,discovery
2013-07-26,0.11904605555140242,402,discovery
2013-07-29,0.07177654835361705,402,discovery
2013-07-30,-0.0021752076201241063,403,discovery
2013-07-31,-0.04690372372011644,401,discovery
2013-08-01,-0.02189228337699624,400,discovery
2013-08-02,-0.0698657644430518,401,discovery
2013-08-05,0.01860417811683297,401,discovery
2013-08-06,0.02341849797291077,402,discovery
2013-08-07,-0.1529089075190782,402,discovery
2013-08-08,-0.0583063492738952,402,discovery
2013-08-09,-0.027548213182902574,402,discovery
2013-08-12,-0.05279383814063393,402,discovery
2013-08-13,-0.007545500040395966,402,discovery
2013-08-14,0.12388880250810477,400,discovery
2013-08-15,0.014635361226147696,401,discovery
2013-08-16,0.039063421787803136,401,discovery
2013-08-19,-0.188280711651643,402,discovery
2013-08-20,-0.08694065045268103,401,discovery
2013-08-21,0.000518592654983272,402,discovery
2013-08-22,-0.04155501877862392,402,discovery
2013-08-23,0.14931579505701045,401,discovery
2013-08-26,0.2508849278990888,401,discovery
2013-08-27,0.21196714145405204,402,discovery
2013-08-28,0.060546420467111756,401,discovery
2013-08-29,0.09481947150697834,401,discovery
2013-08-30,0.06379405052124766,403,discovery
2013-09-03,0.018132376420887195,404,discovery
2013-09-04,0.00437014642387306,401,discovery
2013-09-05,0.042298319524352423,402,discovery
2013-09-06,0.06684069794400578,403,discovery
2013-09-09,-0.05104074077342123,403,discovery
2013-09-10,-0.09117510817154767,403,discovery
2013-09-11,-0.027561143364264087,402,discovery
2013-09-12,-0.03825308744408281,400,discovery
2013-09-13,-0.036582715617070806,402,discovery
2013-09-16,0.006458793825878286,403,discovery
2013-09-17,0.11797036226835192,402,discovery
2013-09-18,0.2170201614411148,404,discovery
2013-09-19,0.19438497948033034,403,discovery
2013-09-20,0.24354237851013702,402,discovery
2013-09-23,0.15678168155372904,402,discovery
2013-09-24,0.04617094823624295,401,discovery
2013-09-25,-0.005071863639054882,402,discovery
