signal,horizon,split,mean_rank_ic,rank_ic_ir,rank_ic_ir_raw,t_stat_nonoverlap,n_dates,n_nonoverlap
mom_252d_skip_21d,1,test,0.02063446723409929,1.685084071911771,1.685084071911771,3.5445306550283817,1115,1115
vol_20d,1,test,-0.0004673327501564926,-0.039860493149355365,-0.039860493149355365,-0.08384551385088992,1115,1115
idio_vol_60d,1,test,-0.0006968201035751358,-0.07150414419509847,-0.07150414419509847,-0.1504071133748936,1115,1115
beta_60d,1,test,0.0008000948914933279,0.05640613966805754,0.05640613966805754,0.1186488523168862,1115,1115
amihud_20d,1,test,-0.0007590220331764467,-0.09712790134549011,-0.09712790134549011,-0.20430602216455007,1115,1115
volume_z_20d,1,test,8.129290767725858e-05,0.019591707950805486,0.019591707950805486,0.0412106496945462,1115,1115
rsi_14d,1,test,0.0010329134291407482,0.11262298842850496,0.11262298842850496,0.23689953609884287,1115,1115
sma_gap_20d,1,test,-0.0025314291341867953,-0.24972353793613988,-0.24972353793613988,-0.5252869872907195,1115,1115
ret_1d,5,discovery,-0.009172682440576807,-0.6039955929797467,-1.334766674077004,-2.2605850546054453,3526,706
ret_5d,5,discovery,-0.015558367053770087,-0.7121593720024735,-2.082454506661798,-2.6654115552997597,3526,706
mom_20d_skip_5d,5,discovery,-0.009409245645045904,-0.7220226999989727,-1.231277110876927,-2.7023272085427776,3526,706
mom_60d_skip_20d,5,discovery,0.0007327258026748766,0.058594083133526105,0.08914572504891544,0.21930111769851737,3526,706
mom_252d_skip_21d,5,discovery,0.0062008522736676204,0.12157457564828004,0.5515812553405572,0.45501932787533,3526,706
vol_20d,5,discovery,-0.0007786522536633,-0.04069681222328427,-0.07781613006988272,-0.15231668336468399,3526,706
idio_vol_60d,5,discovery,2.3388010425478688e-05,-0.02499290852968801,0.002733612725632798,-0.09354140353535519,3526,706
beta_60d,5,discovery,0.00039046944992470476,0.025146197196513356,0.03514841045906184,0.09411511976051248,3526,706
amihud_20d,5,discovery,0.016293583959830046,1.1122154892641638,2.4677297381324146,4.162708704755895,3526,706
volume_z_20d,5,discovery,0.0019293093572827753,0.2491585205333409,0.48875787896869205,0.9325300286826066,3526,706
rsi_14d,5,discovery,-0.013273248924083356,-0.7450345014285178,-1.8791529398698932,-2.7884538872130955,3526,706
