date,rank_ic,n,split
2017-09-15,0.17168705065445156,426,discovery
2017-09-18,-0.12209542131361908,424,discovery
2017-09-19,-0.033911825533213556,425,discovery
2017-09-20,-0.18850492958540108,425,discovery
2017-09-21,-0.37834541031446767,426,discovery
2017-09-22,0.008743777991047195,426,discovery
2017-09-25,0.19066103478721527,427,discovery
2017-09-26,0.1722648166591163,426,discovery
2017-09-27,0.13455589970017096,427,discovery
2017-09-28,-0.09604507674595023,425,discovery
2017-09-29,0.08748690792698459,426,discovery
2017-10-02,0.1037918254160732,426,discovery
2017-10-03,0.020345031881708563,425,discovery
2017-10-04,0.15914055304895414,426,discovery
2017-10-05,0.2443827494169505,427,discovery
2017-10-06,-0.09955234113149572,426,discovery
2017-10-09,0.22514376151798954,427,discovery
2017-10-10,0.1424711702753157,426,discovery
2017-10-11,-0.0473327147133872,427,discovery
2017-10-12,0.07621364191538174,427,discovery
2017-10-13,-0.12183150960131044,426,discovery
2017-10-16,-0.03716798738996613,427,discovery
2017-10-17,-0.14521559264336587,426,discovery
2017-10-18,-0.0026629247623473984,426,discovery
2017-10-19,-0.03637103343261024,427,discovery
2017-10-20,0.15562490565382878,426,discovery
2017-10-23,-0.06607112852029019,426,discovery
2017-10-24,0.14286753594594384,427,discovery
2017-10-25,0.13815417648858083,427,discovery
2017-10-26,-0.05209067650371573,426,discovery
2017-10-27,0.18914123373433356,426,discovery
2017-10-30,-0.07982790448064113,426,discovery
2017-10-31,0.040791771915086886,427,discovery
2017-11-01,0.08885643061779437,428,discovery
2017-11-02,0.05805409761178123,427,discovery
2017-11-03,-0.00686624244663282,427,discovery
2017-11-06,-0.015556825455070778,427,discovery
2017-11-07,-0.2532015337031055,427,discovery
2017-11-08,0.07081229650362891,427,discovery
2017-11-09,0.1997098258464218,427,discovery
2017-11-10,0.0838771530224229,427,discovery
2017-11-13,-0.1337581699146511,427,discovery
2017-11-14,0.027078401822518916,427,discovery
2017-11-15,-0.11007389954224528,427,discovery
2017-11-16,0.15859136860350795,426,discovery
2017-11-17,0.1834420804918504,426,discovery
2017-11-20,-0.21288194025422424,426,discovery
2017-11-21,0.23651230171863583,426,discovery
2017-11-22,0.027148547611212513,426,discovery
2017-11-24,-0.24859012908509842,427,discovery
2017-11-27,-0.48087086514146254,426,discovery
