per_side_cost_bps,momentum_sharpe,overlay_sharpe,sharpe_gap_overlay_minus_momentum,momentum_ann_return_arithmetic,overlay_ann_return_arithmetic,ann_return_gap_overlay_minus_momentum,momentum_max_drawdown,overlay_max_drawdown,momentum_avg_turnover,overlay_avg_turnover
100.0,0.4336438104449685,0.5157252949368962,0.0820814844919277,0.04581803769359334,0.043318475583621334,-0.0024995621099720075,-0.17446668663658738,-0.09928348948879162,0.40072974644403214,0.4941094619666048
100.5,0.43203829132429683,0.5132502551323581,0.08121196380806128,0.045649731200086856,0.04311094960959537,-0.002538781590491486,-0.17466699116280227,-0.09954652740827508,0.40072974644403214,0.4941094619666048
101.0,0.43043286174286816,0.510775250968988,0.08034238922611986,0.045481424706580356,0.04290342363556938,-0.0025780010710109783,-0.17486725168681083,-0.09980949564318076,0.40072974644403214,0.4941094619666048
101.5,0.4288275217379416,0.5083002825381893,0.07947276080024768,0.04531311821307385,0.0426958976615434,-0.0026172205515304497,-0.17506746821727692,-0.10007239421008907,0.40072974644403214,0.4941094619666048
102.0,0.42722227134676155,0.5058253499313549,0.07860307858459331,0.045144811719567364,0.04248837168751743,-0.002656440032049935,-0.1752676407628625,-0.10033522312557508,0.40072974644403214,0.4941094619666048
102.5,0.4256171106065575,0.5033504532398698,0.07773334263331233,0.044976505226060864,0.042280845713491465,-0.0026956595125693997,-0.17546776933222819,-0.10059798240621298,0.40072974644403214,0.4941094619666048
103.0,0.4240120395545449,0.5008755925551104,0.07686355300056547,0.04480819873255438,0.04207331973946551,-0.002734878993088871,-0.17566785393403306,-0.10086067206857141,0.40072974644403214,0.4941094619666048
103.5,0.42240705822792457,0.49840076796844346,0.07599370974051889,0.04463989223904788,0.041865793765439516,-0.0027740984736083635,-0.1758678945769344,-0.101123292129216,0.40072974644403214,0.4941094619666048
104.0,0.420802166663883,0.4959259795712284,0.07512381290734543,0.04447158574554139,0.041658267791413545,-0.002813317954127842,-0.17606789126958866,-0.10138584260470929,0.40072974644403214,0.4941094619666048
104.5,0.419197364899592,0.49345122745481484,0.07425386255522287,0.0443032792520349,0.04145074181738757,-0.0028525374346473342,-0.17626784402065,-0.1016483235116099,0.40072974644403214,0.4941094619666048
